City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
593,Norman,US,81.66,broken clouds,35.2226,-97.4395,Montford Inn
594,Daru,PG,80.46,overcast clouds,-9.0763,143.2092,Daru Lodge
595,Curuguaty,PY,67.96,overcast clouds,-24.4694,-55.6945,La Esquina del Tereré
596,Kuching,MY,79.02,few clouds,1.55,110.3333,The Ranee Boutique Suites
597,Warri,NG,75.72,overcast clouds,5.5167,5.75,BON Hotel Delta
600,Kouango,CF,71.26,overcast clouds,4.9934,19.9619,
601,Panaba,MX,80.62,overcast clouds,21.2833,-88.2667,Posada rosario
602,Khartoum,SD,84.02,overcast clouds,15.5518,32.5324,Hotel China
605,Bucerias,MX,89.58,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
606,Plettenberg Bay,ZA,61.5,broken clouds,-34.0527,23.3716,Thanda Vista B&B
607,Menongue,AO,66.79,few clouds,-14.6585,17.691,Ritz Lauca
612,Meulaboh,ID,76.17,overcast clouds,4.1363,96.1285,Kost Pria
613,Samandag,TR,63.12,clear sky,36.0842,35.9771,Truva Life Hotel
615,Abidjan,CI,80.56,light rain,5.3094,-4.0197,ibis Abidjan Plateau
616,Ahipara,NZ,61.18,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
619,Gold Coast,AU,81.25,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
620,Abakaliki,NG,74.12,overcast clouds,6.3163,8.1169,Grande Vitesse Apartments and Hotels
622,Pachino,IT,60.6,clear sky,36.7186,15.0907,Pietra Bianca B&B
624,Port Lavaca,US,84.97,overcast clouds,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
625,Gaozhou,CN,77.72,overcast clouds,21.9392,110.8461,望江楼旅业
626,Mizan Teferi,ET,61.86,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
627,Quzhou,CN,70.77,overcast clouds,28.9594,118.8686,Quzhou Jiujiu Business Hotel
629,Chissamba,AO,70.14,scattered clouds,-12.1667,17.3333,
631,Ninghai,CN,75.72,broken clouds,29.2892,121.4247,Kaiyuan New Century Hotel
632,Kihei,US,82.42,scattered clouds,20.785,-156.4656,Maui Sunset
633,Broome,US,64.2,broken clouds,42.2506,-75.833,Chenango Valley State Park
634,Fallon,US,68.41,few clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
635,Samarai,PG,78.73,overcast clouds,-10.6167,150.6667,Nuli Sapi
637,Mpongwe,ZM,76.03,clear sky,-13.5091,28.155,GCMF Office & Lodge
638,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
639,Lagunas,PE,79.93,scattered clouds,-5.2269,-75.6753,Hospedaje Eco
640,Da Lat,VN,64.36,overcast clouds,11.9465,108.4419,Khách Sạn Dragon King I
641,Kibungo,RW,67.12,overcast clouds,-2.1597,30.5427,Kibungo - Centre St. Joseph Guest House
642,Pimentel,PE,65.19,broken clouds,-6.8367,-79.9342,Casona Del Muelle
643,Nueve De Julio,AR,60.71,overcast clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
644,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
645,Arlit,NE,83.79,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
646,Kinablangan,PH,82.89,overcast clouds,7.6947,126.5503,Danny Moreno Property
647,Westport,US,64.89,overcast clouds,41.1415,-73.3579,The Westport Inn
648,Mucurapo,TT,82.45,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
649,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
651,Hirara,JP,80.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
653,Kano,NG,79.34,overcast clouds,12.0001,8.5167,Havana Guest Inn
654,Mpraeso,GH,68.43,overcast clouds,6.5932,-0.7346,JAYS Lodge
655,Nador,MA,68.25,clear sky,35.174,-2.9287,Hôtel La Giralda
656,Lambarene,GA,74.35,overcast clouds,-0.7001,10.2406,Le Refuge
657,Huzhou,CN,66.97,overcast clouds,30.8703,120.0933,Huzhou Plaza Hotel
658,Mega,ET,62.42,scattered clouds,4.05,38.3,Amanuel Guest House
659,Abu Samrah,SY,69.49,scattered clouds,35.3029,37.1841,
660,Hosakote,IN,72.86,overcast clouds,14.2769,77.1699,AVN lodge
662,Mecca,SA,83.89,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
664,Nacala,MZ,71.92,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
665,Ippy,CF,69.98,overcast clouds,6.2679,21.2247,
666,Lubao,PH,86.14,light rain,14.9167,120.55,Hacienda Gracia
667,Humaita,BR,81.82,scattered clouds,-7.5061,-63.0208,Corrêa Hotel
668,Zambezi,ZM,73.96,scattered clouds,-13.5432,23.1047,Royal Kutachika Lodge
669,Ponta Delgada,PT,72.32,broken clouds,37.7333,-25.6667,Vila Nova Hotel
670,Balabag,PH,82.31,overcast clouds,11.97,121.9192,Astoria Boracay
